usemonth,customer_id,count_pred,count_0,count_1,count_2,count_3,count_4,count_5,start_date,now_date,period
201810,AS002855,3,7.0,3.0,5.0,5.0,5.0,4.0,2016-11-01,2018-10-01,23
201810,AS009373,5,6.0,6.0,7.0,4.0,4.0,3.0,2015-11-01,2018-10-01,35
201810,AS015315,4,7.0,3.0,6.0,3.0,3.0,6.0,2015-07-01,2018-10-01,39
201810,AS015739,5,6.0,5.0,8.0,6.0,5.0,7.0,2017-06-01,2018-10-01,16
201810,AS019860,7,5.0,7.0,4.0,6.0,8.0,6.0,2017-10-01,2018-10-01,12
201810,AS024181,5,6.0,8.0,3.0,4.0,6.0,4.0,2016-10-01,2018-10-01,24
201810,AS031206,5,6.0,6.0,7.0,5.0,6.0,4.0,2016-12-01,2018-10-01,22
201810,AS036678,6,4.0,6.0,5.0,8.0,6.0,7.0,2016-05-01,2018-10-01,29
201810,AS038564,5,5.0,2.0,2.0,4.0,5.0,6.0,2015-10-01,2018-10-01,36
201810,AS040841,4,6.0,5.0,5.0,4.0,6.0,8.0,2017-05-01,2018-10-01,17
201810,AS040860,7,6.0,5.0,6.0,8.0,6.0,6.0,2016-08-01,2018-10-01,26
201810,AS046594,7,7.0,6.0,10.0,8.0,8.0,9.0,2018-03-01,2018-10-01,7
201810,AS055659,5,7.0,9.0,8.0,10.0,10.0,7.0,2018-01-01,2018-10-01,9
201810,AS057808,5,5.0,5.0,5.0,2.0,6.0,8.0,2016-08-01,2018-10-01,26
201810,AS058623,5,6.0,3.0,6.0,5.0,3.0,6.0,2015-05-01,2018-10-01,41
201810,AS060041,9,6.0,5.0,6.0,8.0,9.0,7.0,2017-06-01,2018-10-01,16
201810,AS065870,5,3.0,3.0,8.0,4.0,6.0,6.0,2015-07-01,2018-10-01,39
201810,AS069821,4,7.0,3.0,2.0,6.0,2.0,5.0,2015-05-01,2018-10-01,41
201810,AS070625,3,9.0,7.0,7.0,7.0,7.0,6.0,2017-11-01,2018-10-01,11
201810,AS071660,5,3.0,6.0,7.0,2.0,3.0,8.0,2017-03-01,2018-10-01,19
201810,AS073168,7,5.0,6.0,6.0,7.0,6.0,8.0,2017-11-01,2018-10-01,11
201810,AS073285,2,3.0,7.0,4.0,8.0,4.0,7.0,2016-09-01,2018-10-01,25
201810,AS077151,3,6.0,5.0,4.0,4.0,7.0,5.0,2016-01-01,2018-10-01,33
201810,AS082596,6,8.0,6.0,6.0,8.0,7.0,7.0,2018-01-01,2018-10-01,9
201810,AS092144,5,3.0,6.0,8.0,6.0,4.0,6.0,2015-08-01,2018-10-01,38
201810,AS098763,2,5.0,3.0,3.0,7.0,2.0,8.0,2017-02-01,2018-10-01,20
201810,AS099118,5,6.0,5.0,4.0,2.0,6.0,5.0,2015-06-01,2018-10-01,40
201810,AS099984,7,3.0,6.0,5.0,4.0,4.0,4.0,2015-06-01,2018-10-01,40
201810,AS105107,6,7.0,2.0,4.0,5.0,4.0,6.0,2015-10-01,2018-10-01,36
201810,AS107662,8,5.0,5.0,7.0,5.0,9.0,7.0,2017-06-01,2018-10-01,16
201810,AS108195,4,4.0,5.0,6.0,3.0,6.0,4.0,2016-04-01,2018-10-01,30
201810,AS108507,6,6.0,5.0,9.0,5.0,9.0,4.0,2016-12-01,2018-10-01,22
201810,AS113826,6,4.0,5.0,2.0,6.0,8.0,4.0,2017-02-01,2018-10-01,20
201810,AS123220,3,6.0,5.0,5.0,5.0,6.0,6.0,2017-03-01,2018-10-01,19
201810,AS124354,4,4.0,4.0,7.0,5.0,4.0,3.0,2015-09-01,2018-10-01,37
