usemonth,customer_id,count_now,count_before,name,gender,start_date,end_date,membership_period,is_deleted,class_name,campaign_name,price,mean,median,max,min,routing_flg
201812,GD969635,7,4.0,XXXX,F,2018-09-07,,7.0,0.0,ナイト,通常,6000.0,7.571428571428571,8.0,10.0,4.0,1.0
201811,IK853780,6,6.0,XXXXX,M,2017-12-01,,16.0,0.0,ナイト,入会費無料,6000.0,6.166666666666668,6.0,9.0,2.0,1.0
201903,PL102815,9,9.0,XXXXXX,M,2018-10-13,,6.0,0.0,オールタイム,通常,10500.0,8.166666666666666,8.0,11.0,6.0,1.0
201902,GD139130,7,7.0,XXXXX,F,2017-10-01,,18.0,0.0,デイタイム,通常,7500.0,7.083333333333332,7.0,9.0,4.0,1.0
201806,PL294980,5,5.0,XXXXX,F,2016-11-01,,29.0,0.0,デイタイム,通常,7500.0,5.666666666666668,5.5,8.0,4.0,1.0
201812,IK867288,6,6.0,XXX,F,2018-11-09,,5.0,0.0,ナイト,通常,6000.0,6.6,6.0,9.0,5.0,1.0
201805,IK766314,4,1.0,XXXXX,F,2015-11-01,,41.0,0.0,デイタイム,通常,7500.0,4.0,4.0,6.0,1.0,1.0
201808,IK986011,6,4.0,XXXX,F,2015-09-01,,43.0,0.0,デイタイム,通常,7500.0,4.833333333333333,5.0,6.0,1.0,1.0
201810,AS918302,6,4.0,XXXX,F,2017-08-01,,20.0,0.0,オールタイム,入会費半額,10500.0,5.916666666666668,6.0,8.0,4.0,1.0
201807,OA076062,6,8.0,XXXXX,M,2017-10-01,,18.0,0.0,オールタイム,通常,10500.0,6.583333333333332,7.0,10.0,4.0,1.0
201903,HI557617,7,6.0,XXXX,F,2017-04-01,,24.0,0.0,オールタイム,通常,10500.0,5.666666666666668,6.0,8.0,4.0,1.0
201903,PL666557,4,4.0,XXXX,F,2016-02-01,,38.0,0.0,オールタイム,通常,10500.0,4.833333333333333,5.0,7.0,2.0,1.0
201809,PL572723,4,6.0,XX,M,2017-10-01,,18.0,0.0,ナイト,通常,6000.0,6.166666666666668,5.5,10.0,3.0,1.0
201809,TS558026,9,3.0,XX,M,2015-12-01,,40.0,0.0,デイタイム,通常,7500.0,4.916666666666667,5.0,9.0,2.0,1.0
201811,TS213950,8,6.0,XXXXX,F,2017-05-01,,23.0,0.0,デイタイム,通常,7500.0,6.166666666666668,6.0,8.0,4.0,1.0
201812,HD622760,8,6.0,XXXXX,F,2018-10-11,,6.0,0.0,デイタイム,通常,7500.0,7.0,7.0,8.0,6.0,1.0
201806,IK109332,6,8.0,XXXXXX,M,2016-08-01,,32.0,0.0,ナイト,通常,6000.0,5.666666666666668,5.5,8.0,3.0,1.0
201806,GD537137,3,3.0,XXXXX,M,2016-08-01,,32.0,0.0,オールタイム,通常,10500.0,4.416666666666667,4.0,7.0,2.0,1.0
201811,HD285695,2,5.0,XXXXX,M,2017-02-01,,26.0,0.0,ナイト,通常,6000.0,5.25,5.5,8.0,2.0,1.0
201812,AS756169,5,5.0,XXXXXX,F,2016-08-01,,32.0,0.0,オールタイム,通常,10500.0,5.0,5.0,8.0,1.0,1.0
201806,AS288569,5,9.0,XXXXX,F,2018-01-01,,15.0,0.0,デイタイム,通常,7500.0,6.916666666666668,7.0,9.0,4.0,1.0
201812,HI873127,8,5.0,XXXXX,F,2017-08-01,,20.0,0.0,デイタイム,入会費半額,7500.0,5.5,5.0,10.0,3.0,1.0
201809,IK967528,5,7.0,XXXX,M,2017-01-01,,27.0,0.0,ナイト,通常,6000.0,5.416666666666668,5.5,7.0,2.0,1.0
201809,TS009911,7,6.0,XXXX,M,2017-09-01,,19.0,0.0,オールタイム,通常,10500.0,5.916666666666668,6.0,10.0,2.0,1.0
201807,GD323300,3,4.0,XXX,F,2017-03-01,,25.0,0.0,デイタイム,通常,7500.0,5.0,5.0,8.0,3.0,1.0
201808,GD343618,6,8.0,XXXXXX,M,2017-07-01,,21.0,0.0,オールタイム,入会費半額,10500.0,6.333333333333332,6.0,8.0,5.0,1.0
201805,PL471336,5,6.0,XXXX,F,2016-05-01,,35.0,0.0,オールタイム,通常,10500.0,5.0,5.0,8.0,2.0,1.0
201811,GD080608,5,6.0,XXXX,F,2017-10-01,,18.0,0.0,ナイト,通常,6000.0,6.166666666666668,6.0,9.0,3.0,1.0
201812,TS121904,6,9.0,XX,M,2016-10-01,,30.0,0.0,オールタイム,通常,10500.0,6.083333333333332,6.0,9.0,4.0,1.0
201812,HD814444,6,7.0,XXXXX,M,2018-04-04,,12.0,0.0,オールタイム,入会費無料,10500.0,7.5,6.5,12.0,6.0,1.0
201808,AS712913,7,7.0,XXXX,M,2015-09-01,,43.0,0.0,オールタイム,通常,10500.0,5.0,5.0,7.0,2.0,1.0
201810,OA876184,7,5.0,XXXX,M,2016-03-01,,37.0,0.0,オールタイム,通常,10500.0,5.416666666666668,5.5,7.0,2.0,1.0
201807,TS321715,4,2.0,XXXXX,M,2015-10-01,,42.0,0.0,ナイト,通常,6000.0,4.583333333333333,4.5,8.0,1.0,1.0
201806,TS037146,7,6.0,XX,F,2017-05-01,,23.0,0.0,デイタイム,通常,7500.0,5.75,6.0,7.0,4.0,1.0
201901,PL249996,5,6.0,XXXXX,F,2015-12-01,,40.0,0.0,オールタイム,通常,10500.0,4.25,4.5,6.0,2.0,1.0
201903,HD219882,5,8.0,XXXXX,M,2018-07-08,,9.0,0.0,オールタイム,通常,10500.0,7.111111111111112,7.0,9.0,5.0,1.0
201810,HI376364,2,5.0,XXXXXX,M,2015-09-01,,43.0,0.0,オールタイム,通常,10500.0,3.9166666666666665,4.0,6.0,2.0,1.0
201811,OA818294,5,7.0,XXXXX,F,2017-01-01,,27.0,0.0,デイタイム,通常,7500.0,5.75,6.0,8.0,2.0,1.0
