exitmonth,customer_id,count_now,count_before,name,gender,start_date,end_date,membership_period,is_deleted,class_name,campaign_name,price,mean,median,max,min,routing_flg,exit_date
201805,AS055680,3,3.0,XXXXX,M,2018-03-01,2018-06-30,3.0,1.0,オールタイム,通常,10500.0,3.0,3.0,3.0,3.0,0.0,2018-05-30 00:00:00
201805,AS169823,2,3.0,XX,M,2017-11-01,2018-06-30,7.0,1.0,オールタイム,通常,10500.0,3.0,3.0,4.0,2.0,1.0,2018-05-30 00:00:00
201805,AS305860,5,3.0,XXXX,M,2017-06-01,2018-06-30,12.0,1.0,オールタイム,通常,10500.0,3.333333333333333,3.0,5.0,2.0,0.0,2018-05-30 00:00:00
201805,AS363699,5,3.0,XXXXX,M,2018-02-01,2018-06-30,4.0,1.0,オールタイム,通常,10500.0,3.333333333333333,3.0,5.0,2.0,0.0,2018-05-30 00:00:00
201805,AS417696,1,4.0,XX,F,2017-09-01,2018-06-30,9.0,1.0,ナイト,通常,6000.0,2.0,1.0,4.0,1.0,0.0,2018-05-30 00:00:00
201805,AS450151,1,9.0,XXXXX,F,2018-04-03,2018-06-30,2.0,1.0,デイタイム,入会費無料,7500.0,4.333333333333333,3.0,9.0,1.0,0.0,2018-05-30 00:00:00
201805,AS543483,4,1.0,XXXXX,M,2017-09-01,2018-06-30,9.0,1.0,ナイト,通常,6000.0,2.6666666666666665,3.0,4.0,1.0,0.0,2018-05-30 00:00:00
201805,AS723178,4,1.0,XX,M,2017-07-01,2018-06-30,11.0,1.0,オールタイム,入会費半額,10500.0,2.333333333333333,2.0,4.0,1.0,0.0,2018-05-30 00:00:00
201805,AS824458,3,5.0,XXXXX,M,2017-07-01,2018-06-30,11.0,1.0,ナイト,入会費半額,6000.0,3.333333333333333,3.0,5.0,2.0,1.0,2018-05-30 00:00:00
201805,AS913753,1,2.0,XX,M,2018-01-01,2018-06-30,5.0,1.0,ナイト,通常,6000.0,1.3333333333333333,1.0,2.0,1.0,0.0,2018-05-30 00:00:00
201805,GD038969,5,6.0,XXXXX,F,2017-12-01,2018-06-30,6.0,1.0,デイタイム,入会費無料,7500.0,4.333333333333333,5.0,6.0,2.0,1.0,2018-05-30 00:00:00
201805,GD350258,2,1.0,XXXX,F,2018-02-01,2018-06-30,4.0,1.0,オールタイム,通常,10500.0,2.0,2.0,3.0,1.0,0.0,2018-05-30 00:00:00
201805,GD390290,4,11.0,XXXXX,M,2018-04-15,2018-06-30,2.0,1.0,ナイト,入会費無料,6000.0,5.666666666666668,4.0,11.0,2.0,0.0,2018-05-30 00:00:00
201805,GD434239,3,4.0,XXXXX,M,2017-11-01,2018-06-30,7.0,1.0,ナイト,通常,6000.0,3.333333333333333,3.0,4.0,3.0,0.0,2018-05-30 00:00:00
201805,GD536257,1,4.0,XX,M,2017-11-01,2018-06-30,7.0,1.0,ナイト,通常,6000.0,2.333333333333333,2.0,4.0,1.0,0.0,2018-05-30 00:00:00
201805,GD639619,6,9.0,XXXX,M,2018-04-08,2018-06-30,2.0,1.0,ナイト,入会費無料,6000.0,6.333333333333332,6.0,9.0,4.0,1.0,2018-05-30 00:00:00
201805,GD711631,3,2.0,XXXXX,M,2017-12-01,2018-06-30,6.0,1.0,オールタイム,入会費無料,10500.0,3.0,3.0,4.0,2.0,0.0,2018-05-30 00:00:00
201805,GD762120,2,3.0,XXXXX,F,2018-01-01,2018-06-30,5.0,1.0,オールタイム,通常,10500.0,3.333333333333333,3.0,5.0,2.0,0.0,2018-05-30 00:00:00
201805,GD849803,3,2.0,XXXX,F,2017-07-01,2018-06-30,11.0,1.0,オールタイム,入会費半額,10500.0,2.333333333333333,2.0,3.0,2.0,0.0,2018-05-30 00:00:00
201805,GD862018,2,3.0,XXXX,F,2017-06-01,2018-06-30,12.0,1.0,デイタイム,通常,7500.0,2.0,2.0,3.0,1.0,0.0,2018-05-30 00:00:00
201805,HD200554,5,3.0,XXXX,M,2017-12-01,2018-06-30,6.0,1.0,オールタイム,入会費無料,10500.0,3.0,3.0,5.0,1.0,1.0,2018-05-30 00:00:00
201805,HD256907,2,6.0,XXXXX,M,2018-04-11,2018-06-30,2.0,1.0,オールタイム,入会費無料,10500.0,3.333333333333333,2.0,6.0,2.0,0.0,2018-05-30 00:00:00
